package,route_package,lead_minutes,metric,route_score,direct_joint_score,route_gain_vs_direct_pct,windows,reference
np025,np026,15,joint_first_passage_RPS,1.6758578261596115,1.65980405709071,-0.9672086895028111,6996,
np025,np026,15,joint_first_passage_RPS,1.6758578261596115,1.6695829416091277,-0.3758354493270151,6996,constructed_joint
np025,np026,60,joint_first_passage_RPS,1.8884072417912725,1.875294761764738,-0.6992223459417704,6996,
np025,np026,60,joint_first_passage_RPS,1.8884072417912725,1.8812769895848651,-0.3790112910476199,6996,constructed_joint
np025,np026,120,joint_first_passage_RPS,2.009345966480774,2.0046476309709225,-0.23437213788917877,6996,
np025,np026,120,joint_first_passage_RPS,2.009345966480774,2.013335505664834,0.19815570593351764,6996,constructed_joint
np025,np026,240,joint_first_passage_RPS,2.1433879819539086,2.134648718700179,-0.4094005340162587,6996,
np025,np026,240,joint_first_passage_RPS,2.1433879819539086,2.1667188488706155,1.0767833089589802,6996,constructed_joint
np025,np026,480,joint_first_passage_RPS,2.2157575578370166,2.1856951244262994,-1.375417507901881,6996,
np025,np026,480,joint_first_passage_RPS,2.2157575578370166,2.2417060842649503,1.1575347281283856,6996,constructed_joint
np025,np026,720,joint_first_passage_RPS,2.2316603600497174,2.2079387615100208,-1.0743775576218089,6996,
np025,np026,720,joint_first_passage_RPS,2.2316603600497174,2.230083440462046,-0.07071123703535719,6996,constructed_joint
np028,np029,15,joint_first_passage_RPS,1.6882684274973099,1.7125392200970755,1.4172401025881216,3772,
np028,np029,15,joint_first_passage_RPS,1.6882684274973099,1.714606934751037,1.5361250861586886,3772,constructed_joint
np028,np029,60,joint_first_passage_RPS,1.8668111251881379,1.9017639162314905,1.8379143039276225,3772,
np028,np029,60,joint_first_passage_RPS,1.8668111251881379,1.8876605189640199,1.104509712759396,3772,constructed_joint
np028,np029,120,joint_first_passage_RPS,1.9600109896479652,1.994717532247828,1.7399226726980472,3772,
np028,np029,120,joint_first_passage_RPS,1.9600109896479652,1.9718728704517905,0.6015540343180221,3772,constructed_joint
np028,np029,240,joint_first_passage_RPS,2.0436304496267095,2.173378723006346,5.969887898790183,3772,
np028,np029,240,joint_first_passage_RPS,2.0436304496267095,2.053377663872121,0.4746917440910965,3772,constructed_joint
np028,np029,480,joint_first_passage_RPS,2.1899520133873054,2.4662252505319393,11.20227104499253,3772,
np028,np029,480,joint_first_passage_RPS,2.1899520133873054,2.2068223432128846,0.7644625258333181,3772,constructed_joint
np028,np029,720,joint_first_passage_RPS,2.2857244407131256,2.563665634502046,10.841553986150235,3772,
np028,np029,720,joint_first_passage_RPS,2.2857244407131256,2.299966377685154,0.6192237030161568,3772,constructed_joint
