package,lead_minutes,run_type,event_seed,timing_seed,seed_label,comparison,candidate,reference,task,metric,valid_windows,blocks,candidate_score,reference_score,difference,reduction_pct,difference_low,difference_high,reduction_low,reduction_high
np025,15,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,state,return_brier,6996,12,0.16449797913072148,0.16010054456176206,0.004397434568959413,-2.7466705881584286,-0.0004188926678314421,0.009192837249269642,-5.543536793307438,0.26503953029415706
np025,15,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,state,multiclass_brier,6996,12,0.5615382004618155,0.5756118546472161,-0.01407365418540063,2.4449903301637432,-0.030441130544164422,-0.0015415203578442883,0.26568266641457255,5.408340493227466
np025,15,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,downward_timing,conditional_rps,2653,10,0.1535572482658362,0.154843951975543,-0.0012867037097067935,0.8309680121765584,-0.004511714985120012,0.001904831126773852,-1.2073978878337204,2.932853909127117
np025,15,primary,41,43,event41_timing43,joint_vs_power,joint_raw88,power20,downward_timing,conditional_median_mae_minutes,2653,10,50.399547681869585,50.95929136826234,-0.559743686392757,1.0984134028625192,-1.5578046738237956,0.4078446993376446,-0.79655846124214,3.082225614316595
np025,15,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,state,return_brier,6996,12,0.1703910028724853,0.20754445663902388,-0.037153453766538586,17.901443559708518,-0.05351421993454089,-0.021466285711796842,12.594129843583424,22.744237019563922
np025,15,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,state,multiclass_brier,6996,12,0.6079216173517908,0.8420819801654333,-0.2341603628136425,27.807311916072585,-0.29921302833580965,-0.16105650159250545,22.441041168452518,31.84650969172932
np025,15,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_rps,2653,10,0.16706048694034722,0.1678359861173964,-0.0007754991770491659,0.4620577475600074,-0.002366758109075146,0.000762950697126912,-0.46269880178080536,1.372004416827531
np025,15,primary,41,43,event41_timing43,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,56.03090840557859,56.15529589144365,-0.1243874858650571,0.2215062424486436,-1.0830405226450073,0.7311497620200345,-1.3437501693918978,1.8878653554681137
np025,15,primary,41,43,event41_timing43,weather_projection20_vs_noise20,weather_projection20,noise20,state,return_brier,6996,12,0.174518749238684,0.20754445663902388,-0.03302570740033989,15.91259431119404,-0.049303797835254605,-0.016313584887022236,9.973158824923264,20.603129587012795
np025,15,primary,41,43,event41_timing43,weather_projection20_vs_noise20,weather_projection20,noise20,state,multiclass_brier,6996,12,0.6167145609354427,0.8420819801654333,-0.2253674192299906,26.76312099514533,-0.2994657436140559,-0.14479661774086106,20.55468321496544,31.434532796591462
