package,lead_minutes,run_type,event_seed,timing_seed,seed_label,arm,task,metric,absolute_score,relative_vs_frequency_pct,frequency_score,windows,valid_windows,positive_events
np025,60,primary,41,43,event41_timing43,power20,state,multiclass_brier,0.60008963726144,13.300931766262359,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,power20,downward_timing,conditional_rps,0.16142663523709064,2.6559039541226848,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,power20,downward_timing,conditional_median_mae_minutes,53.4074632491519,3.2072958294907306,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,weather_raw72,state,return_brier,0.1743559088960284,3.9015221534972833,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,weather_raw72,state,multiclass_brier,0.6233387934626264,9.941966613885779,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_rps,0.17093569327677635,-3.078283949635985,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,weather_raw72,downward_timing,conditional_median_mae_minutes,56.66415378816434,-2.6949482528947577,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,joint_raw88,state,return_brier,0.16640052545262962,8.286232969646202,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,joint_raw88,state,multiclass_brier,0.5833765109543664,15.715591823897668,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_rps,0.16012517778235938,3.4407137179321867,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,joint_raw88,downward_timing,conditional_median_mae_minutes,52.84206558612891,4.231990982682654,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,weather_summary20,state,return_brier,0.17052655421091775,6.0121197162844915,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,weather_summary20,state,multiclass_brier,0.6074099916818122,12.243309924493273,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_rps,0.16706048694034722,-0.7414424658442442,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,weather_summary20,downward_timing,conditional_median_mae_minutes,56.03090840557859,-1.5472896813198078,55.17715793441387,6996,2653,2653
np025,60,primary,41,43,event41_timing43,weather_projection20,state,return_brier,0.17486315193733398,3.6219486966736048,0.18143462082149273,6996,6996,2653
np025,60,primary,41,43,event41_timing43,weather_projection20,state,multiclass_brier,0.6174784740563156,10.788647177139499,0.6921523489083176,6996,6996,2653
np025,60,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_rps,0.17216713257815885,-3.820871103561263,0.16583094588603695,6996,2653,2653
np025,60,primary,41,43,event41_timing43,weather_projection20,downward_timing,conditional_median_mae_minutes,57.76667923105918,-4.693103801619025,55.17715793441387,6996,2653,2653
