lead_minutes,cost_ratio,candidate,reference,relative_cost_reduction_pct,low,high
15,2.0,np013_selected,np014_selected,1.8199704869650835,-11.368273997130734,13.993922440990042
15,2.0,np014_selected,np014_selected,0.0,0.0,0.0
15,2.0,np019_selected,np014_selected,-0.5902606984751646,-4.32437224458501,2.723281385625024
15,2.0,np020_selected,np014_selected,-0.5902606984751646,-4.32437224458501,2.723281385625024
15,5.0,np013_selected,np014_selected,-9.849281458114278,-19.448203480123922,-1.3827596215243483
15,5.0,np014_selected,np014_selected,0.0,0.0,0.0
15,5.0,np019_selected,np014_selected,-2.6638626007711164,-6.822721285943638,1.854397347436038
15,5.0,np020_selected,np014_selected,-2.6638626007711164,-6.822721285943638,1.854397347436038
15,10.0,np013_selected,np014_selected,-29.85119951412085,-53.700867017307026,-13.897814362759009
15,10.0,np014_selected,np014_selected,0.0,0.0,0.0
15,10.0,np019_selected,np014_selected,1.6398420892802967,-4.748672924920103,8.858890649131935
15,10.0,np020_selected,np014_selected,1.6398420892802967,-4.748672924920103,8.858890649131935
720,2.0,np013_selected,np014_selected,-8.264462809917351,-19.21862045502628,-0.7913939782506855
720,2.0,np014_selected,np014_selected,0.0,0.0,0.0
720,2.0,np019_selected,np014_selected,0.8750607681088929,-3.468390725876421,5.921182593225822
720,2.0,np020_selected,np014_selected,0.8750607681088929,-3.468390725876421,5.921182593225822
720,5.0,np013_selected,np014_selected,-19.402985074626855,-30.32388943389791,-10.88649682069745
720,5.0,np014_selected,np014_selected,0.0,0.0,0.0
720,5.0,np019_selected,np014_selected,3.401596667823681,-1.5030409400261435,7.947096599024916
720,5.0,np020_selected,np014_selected,3.401596667823681,-1.5030409400261435,7.947096599024916
720,10.0,np013_selected,np014_selected,-12.334137515078414,-26.03822968761731,0.06713802841326265
720,10.0,np014_selected,np014_selected,0.0,0.0,0.0
720,10.0,np019_selected,np014_selected,-0.21109770808203088,-5.054478604486668,4.7872306140895855
720,10.0,np020_selected,np014_selected,-0.21109770808203088,-5.054478604486668,4.7872306140895855
