lead_minutes,cost_ratio,method,threshold,threshold_source,validation_cost,validation_alert_rate,constant_action,train_frequency,validation_frequency,test_not_used_for_selection
120,5.0,np008_full_rolling,0.13,validation_only,0.5207006369426752,0.5115445859872612,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
120,5.0,train_frequency,0.215,validation_only,0.7304936305732485,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
120,5.0,validation_frequency,0.15,validation_only,0.7304936305732485,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
120,5.0,no_alert,-1.0,deterministic_policy,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
120,5.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
120,5.0,validation_constant,-1.0,validation_constant_selection,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
120,10.0,np008_full_rolling,0.09,validation_only,0.6062898089171974,0.6604299363057324,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
120,10.0,train_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
120,10.0,validation_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
120,10.0,no_alert,-1.0,deterministic_policy,1.460987261146497,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
120,10.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
120,10.0,validation_constant,-1.0,validation_constant_selection,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
240,2.0,np008_full_rolling,0.6900000000000001,validation_only,0.2921974522292994,0.0,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
240,2.0,train_frequency,0.215,validation_only,0.2921974522292994,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
240,2.0,validation_frequency,0.15,validation_only,0.2921974522292994,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
240,2.0,no_alert,-1.0,deterministic_policy,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
240,2.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
240,2.0,validation_constant,-1.0,validation_constant_selection,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
240,5.0,np008_full_rolling,0.16,validation_only,0.5636942675159236,0.3825636942675159,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
240,5.0,train_frequency,0.215,validation_only,0.7304936305732485,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
240,5.0,validation_frequency,0.15,validation_only,0.7304936305732485,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
240,5.0,no_alert,-1.0,deterministic_policy,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
240,5.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
240,5.0,validation_constant,-1.0,validation_constant_selection,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
240,10.0,np008_full_rolling,0.075,validation_only,0.6381369426751592,0.7273089171974523,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
240,10.0,train_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
240,10.0,validation_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
240,10.0,no_alert,-1.0,deterministic_policy,1.460987261146497,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
240,10.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
240,10.0,validation_constant,-1.0,validation_constant_selection,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
480,2.0,np008_full_rolling,0.47000000000000003,validation_only,0.2898089171974522,0.021496815286624203,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
480,2.0,train_frequency,0.215,validation_only,0.2921974522292994,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
480,2.0,validation_frequency,0.15,validation_only,0.2921974522292994,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
480,2.0,no_alert,-1.0,deterministic_policy,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
480,2.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
480,2.0,validation_constant,-1.0,validation_constant_selection,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
480,5.0,np008_full_rolling,0.15,validation_only,0.5935509554140127,0.4148089171974522,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
480,5.0,train_frequency,0.215,validation_only,0.7304936305732485,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
480,5.0,validation_frequency,0.15,validation_only,0.7304936305732485,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
480,5.0,no_alert,-1.0,deterministic_policy,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
480,5.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
480,5.0,validation_constant,-1.0,validation_constant_selection,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
480,10.0,np008_full_rolling,0.075,validation_only,0.7193471337579618,0.7734872611464968,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
480,10.0,train_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
480,10.0,validation_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
480,10.0,no_alert,-1.0,deterministic_policy,1.460987261146497,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
480,10.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
480,10.0,validation_constant,-1.0,validation_constant_selection,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
720,2.0,np008_full_rolling,0.495,validation_only,0.2898089171974522,0.020302547770700636,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
720,2.0,train_frequency,0.215,validation_only,0.2921974522292994,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
720,2.0,validation_frequency,0.15,validation_only,0.2921974522292994,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
720,2.0,no_alert,-1.0,deterministic_policy,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
720,2.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
720,2.0,validation_constant,-1.0,validation_constant_selection,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
720,5.0,np008_full_rolling,0.14,validation_only,0.6313694267515924,0.4621815286624204,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
720,5.0,train_frequency,0.215,validation_only,0.7304936305732485,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
720,5.0,validation_frequency,0.15,validation_only,0.7304936305732485,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
720,5.0,no_alert,-1.0,deterministic_policy,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
720,5.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
720,5.0,validation_constant,-1.0,validation_constant_selection,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
720,10.0,np008_full_rolling,0.08,validation_only,0.7257165605095541,0.7229299363057324,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
720,10.0,train_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
720,10.0,validation_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
720,10.0,no_alert,-1.0,deterministic_policy,1.460987261146497,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
720,10.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
720,10.0,validation_constant,-1.0,validation_constant_selection,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
