lead_minutes,cost_ratio,candidate,reference,relative_cost_reduction_pct,low,high
15,2.0,np008_full_rolling,validation_constant,2.842003853564534,0.6596233581721744,5.299758394021895
15,5.0,np008_full_rolling,validation_constant,41.406551059730255,27.51555239356271,52.2864822154398
15,10.0,np008_full_rolling,validation_constant,34.481495053133024,20.89609788322666,48.38614552670945
60,2.0,np008_full_rolling,validation_constant,0.674373795761074,-0.4571970120444607,2.017035568936562
60,5.0,np008_full_rolling,validation_constant,37.36030828516378,25.949931012523876,46.54713882347735
60,10.0,np008_full_rolling,validation_constant,32.79589593257604,22.32809415952111,43.35978055090525
120,2.0,np008_full_rolling,validation_constant,0.3371868978805259,-0.26424470895754004,1.2931344430852696
120,5.0,np008_full_rolling,validation_constant,39.42196531791908,25.268261189702944,48.97175357295355
120,10.0,np008_full_rolling,validation_constant,33.51044338585562,21.998823552673205,44.81127582106672
240,2.0,np008_full_rolling,validation_constant,0.0,0.0,0.0
240,5.0,np008_full_rolling,validation_constant,36.70520231213873,23.838551686881363,44.81847934906676
240,10.0,np008_full_rolling,validation_constant,32.649322096005875,23.423466289360157,42.94280836206637
480,2.0,np008_full_rolling,validation_constant,2.1194605009633882,-0.9458337423513563,5.5083980573850235
480,5.0,np008_full_rolling,validation_constant,42.466281310211954,32.0445997458704,50.02561301882624
480,10.0,np008_full_rolling,validation_constant,29.626236716746067,19.802815506062437,40.02875781267893
720,2.0,np008_full_rolling,validation_constant,1.156069364161838,-0.9405829270387539,4.823980911895853
720,5.0,np008_full_rolling,validation_constant,41.98458574181117,32.62157403882756,48.649607476635516
720,10.0,np008_full_rolling,validation_constant,30.54232319530964,21.11317278766783,40.673793263578425
