package,reference,metric,leads,n_leads,equal_weight_mean_gain_pct,global_low,global_high,min_lead_gain_pct,max_lead_gain_pct,mean_route_score,mean_reference_score,min_valid_windows,windows_per_lead,bootstrap_draws
np025,constructed_joint,conditional_median_mae_minutes,"15,60,120,240,480,720",6,2.547994609061537,0.7936282251386202,4.29036852661701,-1.4483946115668944,8.785410109239022,54.43931398416887,56.010177157934415,2653,6996,2000
np025,constructed_joint,conditional_rps,"15,60,120,240,480,720",6,2.790026408293554,1.0109408361989576,4.890667406172752,-0.8379309503379506,8.702301303941084,0.16388963797340392,0.1690413970694046,2653,6996,2000
np025,constructed_joint,joint_first_passage_RPS,"15,60,120,240,480,720",6,0.2720747441647552,-0.1629193390620207,0.7428041640789772,-0.3790112910476262,1.1575347281283843,2.027402822378717,2.033783968409406,6996,6996,2000
np025,direct_joint,conditional_median_mae_minutes,"15,60,120,240,480,720",6,-0.644932100809868,-1.7210391833480505,0.41452377792802103,-1.83030166082927,1.371371371371366,54.43931398416887,54.11138333961552,2653,6996,2000
np025,direct_joint,conditional_rps,"15,60,120,240,480,720",6,-0.1768989263631785,-1.289509086553282,0.9201379442098014,-1.985731542023661,2.185121272757573,0.16388963797340392,0.16368788050950986,2653,6996,2000
np025,direct_joint,joint_first_passage_RPS,"15,60,120,240,480,720",6,-0.7641055864253845,-1.5423506002556577,0.19402890994702593,-1.3754175079018882,-0.2343721378891716,2.027402822378717,2.0113381757438114,6996,6996,2000
np028,constructed_joint,conditional_median_mae_minutes,"15,60,120,240,480,720",6,1.7085707323241426,0.6007466768818741,2.4597633718608716,-0.2207062600320997,2.517540239372684,54.160391566265055,55.07153614457831,1328,3772,2000
np028,constructed_joint,conditional_rps,"15,60,120,240,480,720",6,1.4529281775457288,0.7605668859455461,1.9815152515210268,0.3058040324537825,2.6384064349589957,0.16224725232017562,0.1645937236573773,1328,3772,2000
np028,constructed_joint,joint_first_passage_RPS,"15,60,120,240,480,720",6,0.8879467706862129,-0.23028708818972804,1.821486093374489,0.4746917440910936,1.5361250861586906,2.0057329076767587,2.022384451489501,3772,3772,2000
np028,direct_joint,conditional_median_mae_minutes,"15,60,120,240,480,720",6,2.7236929550884614,-0.12363461200046331,5.811891770245103,0.7550168885356756,5.112960760998808,54.160391566265055,55.61182228915663,1328,3772,2000
np028,direct_joint,conditional_rps,"15,60,120,240,480,720",6,2.4706773326523064,0.021032407157805893,5.287944929851583,0.901775637777269,4.554688169732135,0.16224725232017562,0.16621047890892024,1328,3772,2000
np028,direct_joint,joint_first_passage_RPS,"15,60,120,240,480,720",6,5.823765604503721,1.014519430727423,11.594707463517688,1.4172401025881245,11.202271044992528,2.0057329076767587,2.1353817127694543,3772,3772,2000
