package,lead_minutes,month,arm,task,metric,relative_gain_pct,windows
np028,15,2024-08,power,event,multiclass_brier,10.788025958226108,2928
np028,15,2024-08,weather,event,multiclass_brier,0.7289861803652856,2928
np028,15,2024-08,joint,event,multiclass_brier,16.904446246784516,2928
np028,15,2024-08,power_added_to_weather,downward_timing,conditional_rps,9.631319852924975,901
np028,60,2024-07,power,event,multiclass_brier,1.5162917313416755,844
np028,60,2024-07,weather,event,multiclass_brier,-1.1834375148180867,844
np028,60,2024-07,joint,event,multiclass_brier,5.3700746044603,844
np028,60,2024-07,power_added_to_weather,downward_timing,conditional_rps,2.8433563693529607,427
np028,60,2024-08,power,event,multiclass_brier,4.60364711587923,2928
np028,60,2024-08,weather,event,multiclass_brier,0.7590680837836302,2928
np028,60,2024-08,joint,event,multiclass_brier,12.112683341900992,2928
np028,60,2024-08,power_added_to_weather,downward_timing,conditional_rps,6.465354332960915,901
np028,120,2024-07,power,event,multiclass_brier,-1.4619380157802067,844
np028,120,2024-07,weather,event,multiclass_brier,-1.319439932928797,844
np028,120,2024-07,joint,event,multiclass_brier,5.784230668425954,844
np028,120,2024-07,power_added_to_weather,downward_timing,conditional_rps,0.5304164640131238,427
np028,120,2024-08,power,event,multiclass_brier,0.6977636887410429,2928
np028,120,2024-08,weather,event,multiclass_brier,1.3196832355001864,2928
np028,120,2024-08,joint,event,multiclass_brier,10.38358048112806,2928
np028,120,2024-08,power_added_to_weather,downward_timing,conditional_rps,4.8438244392519785,901
np028,240,2024-07,power,event,multiclass_brier,-4.685318780160001,844
np028,240,2024-07,weather,event,multiclass_brier,-0.7874448191403098,844
np028,240,2024-07,joint,event,multiclass_brier,2.879545439775527,844
np028,240,2024-07,power_added_to_weather,downward_timing,conditional_rps,1.2590555106436547,427
np028,240,2024-08,power,event,multiclass_brier,-2.752925680697297,2928
np028,240,2024-08,weather,event,multiclass_brier,1.8652129364650312,2928
np028,240,2024-08,joint,event,multiclass_brier,8.087286029224892,2928
np028,240,2024-08,power_added_to_weather,downward_timing,conditional_rps,0.8115496436411131,901
np028,480,2024-07,power,event,multiclass_brier,-11.481686348247662,844
np028,480,2024-07,weather,event,multiclass_brier,-1.4284268618010132,844
np028,480,2024-07,joint,event,multiclass_brier,-1.3595019815758314,844
np028,480,2024-07,power_added_to_weather,downward_timing,conditional_rps,-2.8840919882718263,427
np028,480,2024-08,power,event,multiclass_brier,-10.023433164625272,2928
np028,480,2024-08,weather,event,multiclass_brier,1.1984132352850236,2928
np028,480,2024-08,joint,event,multiclass_brier,4.7626613383324985,2928
np028,480,2024-08,power_added_to_weather,downward_timing,conditional_rps,2.7395197684456396,901
np028,720,2024-07,power,event,multiclass_brier,-12.179330033446687,844
np028,720,2024-07,weather,event,multiclass_brier,-1.5316714802969202,844
np028,720,2024-07,joint,event,multiclass_brier,1.4571473682930773,844
np028,720,2024-07,power_added_to_weather,downward_timing,conditional_rps,-0.5054815231338736,427
np028,720,2024-08,power,event,multiclass_brier,-13.700947760781244,2928
np028,720,2024-08,weather,event,multiclass_brier,1.066210428211497,2928
np028,720,2024-08,joint,event,multiclass_brier,0.6822820149314401,2928
np028,720,2024-08,power_added_to_weather,downward_timing,conditional_rps,6.470673963554511,901
