package,lead_minutes,threshold,arm,task,absolute_score,relative_vs_frequency_pct,windows,positive_events
np028,240,0.2,power,state,0.7006876569753192,-3.244661404569641,3772,1328
np028,240,0.2,power,downward_timing,0.16766590833909342,,3772,1328
np028,240,0.2,weather,state,0.6705897641134416,1.1901915953099051,3772,1328
np028,240,0.2,weather,downward_timing,0.16927183533193546,,3772,1328
np028,240,0.2,joint,state,0.6327752308755228,6.7620732196758,3772,1328
np028,240,0.2,joint,downward_timing,0.16818021020368554,,3772,1328
np028,240,0.25,power,state,0.6031721931351821,0.9769325701942928,3772,1034
np028,240,0.25,power,downward_timing,0.16898557221344498,,3772,1034
np028,240,0.25,weather,state,0.5816624747530232,4.5081933245760615,3772,1034
np028,240,0.25,weather,downward_timing,0.1673287026975582,,3772,1034
np028,240,0.25,joint,state,0.5549174906242844,8.898930160475986,3772,1034
np028,240,0.25,joint,downward_timing,0.1713509937147795,,3772,1034
np028,720,0.15,power,state,0.7543747915993778,-5.201277142571388,3772,1797
np028,720,0.15,power,downward_timing,0.16632593694098205,,3772,1797
np028,720,0.15,weather,state,0.665654718260321,7.171173696703286,3772,1797
np028,720,0.15,weather,downward_timing,0.16869494377637115,,3772,1797
np028,720,0.15,joint,state,0.6664879244681314,7.0549789906223195,3772,1797
np028,720,0.15,joint,downward_timing,0.16796868410451976,,3772,1797
np028,720,0.2,power,state,0.7688642855689477,-13.31366949837914,3772,1328
np028,720,0.2,power,downward_timing,0.16191593155724862,,3772,1328
np028,720,0.2,weather,state,0.6757793271365491,0.40500415190488825,3772,1328
np028,720,0.2,weather,downward_timing,0.16925621003618813,,3772,1328
np028,720,0.2,joint,state,0.6725597511961523,0.8794987680322228,3772,1328
np028,720,0.2,joint,downward_timing,0.1663036990546822,,3772,1328
np028,720,0.25,power,state,0.6835572157554514,-12.218283776720314,3772,1034
np028,720,0.25,power,downward_timing,0.16203075357640756,,3772,1034
np028,720,0.25,weather,state,0.581237626900209,4.57932788390002,3772,1034
np028,720,0.25,weather,downward_timing,0.1668148010054765,,3772,1034
np028,720,0.25,joint,state,0.5875969612174896,3.5353281036344515,3772,1034
np028,720,0.25,joint,downward_timing,0.16455390010129894,,3772,1034
