package,route_package,lead_minutes,metric,reference,route_score,reference_score,relative_loss_reduction_pct,low,high,windows,valid_windows,n_blocks,bootstrap_draws,bootstrap_seed
np025,np026,15,joint_first_passage_RPS,direct_joint,1.6758578261596115,1.65980405709071,-0.9672086895028187,-2.3210050111621756,0.5535521655695751,6996,6996,12,2000,41
np025,np026,15,conditional_rps,direct_joint,0.15484395197554296,0.15182903493881283,-1.985731542023661,-3.9334205567717633,-0.03513516881791115,6996,2653,12,2000,41
np025,np026,15,conditional_median_mae_minutes,direct_joint,50.95929136826234,50.0433471541651,-1.83030166082927,-4.020431520879534,0.5591697294981048,6996,2653,12,2000,41
np025,np026,15,joint_first_passage_RPS,constructed_joint,1.6758578261596115,1.6695829416091277,-0.3758354493270222,-1.0527092221626355,0.3184176589410117,6996,6996,12,2000,41
np025,np026,15,conditional_rps,constructed_joint,0.15484395197554296,0.15355724826583622,-0.8379309503379506,-3.077846318906649,1.1756288117405038,6996,2653,12,2000,41
np025,np026,15,conditional_median_mae_minutes,constructed_joint,50.95929136826234,50.399547681869585,-1.110612519632026,-3.1531607282515335,0.7635812572990813,6996,2653,12,2000,41
np025,np026,60,joint_first_passage_RPS,direct_joint,1.8884072417912725,1.875294761764738,-0.6992223459417746,-2.0014421671047886,0.6021487448473327,6996,6996,12,2000,41
np025,np026,60,conditional_rps,direct_joint,0.1614266352370906,0.16203412017341176,0.37491173813948286,-1.1680222096303228,2.1101158632252797,6996,2653,12,2000,41
np025,np026,60,conditional_median_mae_minutes,direct_joint,53.4074632491519,53.226535996984545,-0.33991926917356086,-1.6917042335865262,1.0474090160599911,6996,2653,12,2000,41
np025,np026,60,joint_first_passage_RPS,constructed_joint,1.8884072417912725,1.8812769895848651,-0.3790112910476262,-1.0109130626374796,0.1888299279065138,6996,6996,12,2000,41
np025,np026,60,conditional_rps,constructed_joint,0.1614266352370906,0.16012517778235938,-0.812775025611634,-2.497101984148326,0.8496151574767355,6996,2653,12,2000,41
np025,np026,60,conditional_median_mae_minutes,constructed_joint,53.4074632491519,52.84206558612891,-1.069976460517874,-2.7637898109532038,0.5106250791678503,6996,2653,12,2000,41
np025,np026,120,joint_first_passage_RPS,direct_joint,2.009345966480774,2.0046476309709225,-0.23437213788917166,-1.4745593818465235,1.087649815789805,6996,6996,12,2000,41
np025,np026,120,conditional_rps,direct_joint,0.1644505466017027,0.16450013681460315,0.03014600100689213,-1.3506791218296565,1.353399138653161,6996,2653,12,2000,41
np025,np026,120,conditional_median_mae_minutes,direct_joint,54.47041085563513,53.876743309460984,-1.101899464791689,-2.413013041043284,0.1341524582133949,6996,2653,12,2000,41
np025,np026,120,joint_first_passage_RPS,constructed_joint,2.009345966480774,2.013335505664834,0.1981557059335226,-0.4779644067152661,0.9145561041722085,6996,6996,12,2000,41
np025,np026,120,conditional_rps,constructed_joint,0.1644505466017027,0.16748046926308877,1.8091199975243,-0.18411816482669985,3.8645090413434744,6996,2653,12,2000,41
np025,np026,120,conditional_median_mae_minutes,constructed_joint,54.47041085563513,55.635130041462496,2.093495934959355,0.16953801066472762,4.063443309098394,6996,2653,12,2000,41
np025,np026,240,joint_first_passage_RPS,direct_joint,2.1433879819539086,2.134648718700179,-0.40940053401625764,-1.6342852853435152,0.960727172482552,6996,6996,12,2000,41
np025,np026,240,conditional_rps,direct_joint,0.16666954805004194,0.16504815492361852,-0.982375796429702,-2.6495335808271996,0.34273117046786716,6996,2653,12,2000,41
np025,np026,240,conditional_median_mae_minutes,direct_joint,55.459856765925366,54.88315114964192,-1.0507880910682887,-3.0955811868537157,0.5269722875414158,6996,2653,12,2000,41
np025,np026,240,joint_first_passage_RPS,constructed_joint,2.1433879819539086,2.1667188488706155,1.076783308958984,0.029591360435766715,2.096207212353447,6996,6996,12,2000,41
np025,np026,240,conditional_rps,constructed_joint,0.16666954805004194,0.18255613277274932,8.702301303941084,5.025844970474355,12.97708094910244,6996,2653,12,2000,41
np025,np026,240,conditional_median_mae_minutes,constructed_joint,55.459856765925366,60.288352808141724,8.009003094813838,5.0402362844110336,10.928681463178407,6996,2653,12,2000,41
np025,np026,480,joint_first_passage_RPS,direct_joint,2.2157575578370166,2.1856951244262994,-1.3754175079018882,-2.493413419616412,0.20711065370170673,6996,6996,12,2000,41
np025,np026,480,conditional_rps,direct_joint,0.16655073774970425,0.1702713737591316,2.185121272757573,0.24198679873098847,4.206140618318002,6996,2653,12,2000,41
np025,np026,480,conditional_median_mae_minutes,direct_joint,55.70863173765549,56.483226535996984,1.371371371371366,-0.440832295359454,3.2361014616843193,6996,2653,12,2000,41
np025,np026,480,joint_first_passage_RPS,constructed_joint,2.2157575578370166,2.2417060842649503,1.1575347281283843,-0.26064487601000996,2.528180329772612,6996,6996,12,2000,41
