site,lead_minutes,split,windows,class_0,class_1,class_2,class_3,down_events
suining,15,train,10909,4518,2133,2214,2044,4258
suining,15,validation,3755,1495,657,591,1012,1603
suining,15,test,3772,1877,567,540,788,1328
suining,60,train,10906,4515,2133,2214,2044,4258
suining,60,validation,3755,1495,657,591,1012,1603
suining,60,test,3772,1877,567,540,788,1328
suining,120,train,10902,4511,2133,2214,2044,4258
suining,120,validation,3755,1495,657,591,1012,1603
suining,120,test,3772,1877,567,540,788,1328
suining,240,train,10894,4511,2133,2206,2044,4250
suining,240,validation,3755,1495,657,591,1012,1603
suining,240,test,3772,1877,567,540,788,1328
suining,480,train,10878,4500,2132,2202,2044,4246
suining,480,validation,3755,1495,657,591,1012,1603
suining,480,test,3772,1877,567,540,788,1328
suining,720,train,10864,4502,2120,2199,2043,4242
suining,720,validation,3755,1495,657,591,1012,1603
suining,720,test,3772,1877,567,540,788,1328
