bin_low,bin_high,n,mean_pred,obs_rate,abs_gap,package,lead_minutes,arm,target
0.0,0.1,2969,0.0328403541578728,0.0868979454361738,0.054057591278300995,np025,15,power,return
0.1,0.2,1212,0.1511002287381303,0.21204620462046206,0.06094597588233175,np025,15,power,return
0.2,0.30000000000000004,1274,0.24995738746971227,0.3359497645211931,0.0859923770514808,np025,15,power,return
0.30000000000000004,0.4,1086,0.34570116899124864,0.3996316758747698,0.053930506883521134,np025,15,power,return
0.4,0.5,383,0.43412572225017443,0.5248041775456919,0.09067845529551743,np025,15,power,return
0.5,0.6000000000000001,66,0.5335114932961926,0.6212121212121212,0.08770062791592859,np025,15,power,return
0.6000000000000001,0.7000000000000001,6,0.6227923940665421,0.5,0.12279239406654208,np025,15,power,return
0.0,0.1,2470,0.031191650651467652,0.09352226720647773,0.06233061655501008,np025,15,power,downward
0.1,0.2,631,0.147112883862245,0.20443740095087162,0.057324517088626625,np025,15,power,downward
0.2,0.30000000000000004,522,0.2483235609033383,0.2471264367816092,0.0011971241217290929,np025,15,power,downward
0.30000000000000004,0.4,469,0.34926623740406465,0.31982942430703626,0.02943681309702839,np025,15,power,downward
0.4,0.5,546,0.4494393175344019,0.45787545787545786,0.008436140341055942,np025,15,power,downward
0.5,0.6000000000000001,539,0.547169628671238,0.5825602968460112,0.03539066817477321,np025,15,power,downward
0.6000000000000001,0.7000000000000001,509,0.6491914294905125,0.7033398821218074,0.054148452631294974,np025,15,power,downward
0.7000000000000001,0.8,686,0.7572694404689724,0.7740524781341108,0.016783037665138445,np025,15,power,downward
0.8,0.9,563,0.8397992541139264,0.8934280639431617,0.053628809829235236,np025,15,power,downward
0.9,1.0,61,0.9193932666197893,0.9508196721311475,0.031426405511358224,np025,15,power,downward
0.0,0.1,3027,0.045995347758017925,0.11562603237528907,0.06963068461727115,np025,15,weather,return
0.1,0.2,1488,0.14824222758579822,0.28225806451612906,0.13401583693033084,np025,15,weather,return
0.2,0.30000000000000004,1404,0.24684579288558345,0.353988603988604,0.10714281110302054,np025,15,weather,return
0.30000000000000004,0.4,779,0.34305492554372086,0.28241335044929394,0.060641575094426914,np025,15,weather,return
0.4,0.5,253,0.4429518794407033,0.48221343873517786,0.03926155929447456,np025,15,weather,return
0.5,0.6000000000000001,45,0.5212393136507222,0.28888888888888886,0.23235042476183332,np025,15,weather,return
0.0,0.1,1560,0.06137315798404782,0.12435897435897436,0.06298581637492653,np025,15,weather,downward
0.1,0.2,1042,0.14792638875449898,0.263915547024952,0.11598915827045303,np025,15,weather,downward
0.2,0.30000000000000004,976,0.24793390643261515,0.32991803278688525,0.0819841263542701,np025,15,weather,downward
0.30000000000000004,0.4,931,0.34974363429677596,0.4683136412459721,0.11857000694919612,np025,15,weather,downward
0.4,0.5,718,0.4445608532863702,0.4637883008356546,0.019227447549284404,np025,15,weather,downward
0.5,0.6000000000000001,602,0.5521904497214276,0.5697674418604651,0.017576992139037517,np025,15,weather,downward
